n_llama,n_yolos,n_bart,llama_avg_ms,yolos_avg_ms,bart_avg_ms,Llama contention ,Yolos contention,Bart contention
6,1,1,27.19965161,19.67752269,21.72521192,22.17565161,14.62752269,20.85521192
6,1,2,27.58897893,19.75594005,22.92387581,22.56497893,14.70594005,22.05387581
6,1,3,28.23310597,20.34434555,23.17818001,23.20910597,15.29434555,22.30818001
6,1,4,28.60730849,20.50135756,23.9294159,23.58330849,15.45135756,23.0594159
6,1,5,28.98209889,20.58132353,24.62904858,23.95809889,15.53132353,23.75904858
6,1,6,29.58572178,21.09998753,24.88402419,24.56172178,16.04998753,24.01402419
6,2,1,32.66250419,24.57301463,27.69525384,27.63850419,19.52301463,26.82525384
6,2,2,33.29965202,25.02706643,28.14031438,28.27565202,19.97706643,27.27031438
6,2,3,33.70829782,25.31433729,28.78191208,28.68429782,20.26433729,27.91191208
6,2,4,34.09930993,25.555534,29.43403959,29.07530993,20.505534,28.56403959
6,2,5,34.6965995,25.94751068,29.80871592,29.6725995,20.89751068,28.93871592
6,2,6,35.0791911,26.21891302,30.35342025,30.0551911,21.16891302,29.48342025
6,3,1,38.28158634,29.52945366,33.24380312,33.25758634,24.47945366,32.37380312
6,3,2,38.83534479,30.010113,33.76705315,33.81134479,24.960113,32.89705315
6,3,3,39.24225721,30.3599662,34.34600986,34.21825721,25.3099662,33.47600986
6,3,4,39.77734223,30.66919359,34.78654732,34.75334223,25.61919359,33.91654732
6,3,5,40.18120543,30.94746664,35.27538003,35.15720543,25.89746664,34.40538003
6,3,6,40.75393691,31.42960908,35.72992724,35.72993691,26.37960908,34.85992724
6,4,1,43.85647882,34.87055826,39.01400083,38.83247882,29.82055826,38.14400083
6,4,2,44.22320289,35.04579819,39.52009926,39.19920289,29.99579819,38.65009926
6,4,3,44.77177449,35.4027146,39.82495045,39.74777449,30.3527146,38.95495045
6,4,4,45.15505975,35.71163084,40.3809898,40.13105975,30.66163084,39.5109898
6,4,5,45.70774253,36.10050604,40.764278,40.68374253,31.05050604,39.894278
6,4,6,46.22339072,36.4165474,41.22584261,41.19939072,31.3665474,40.35584261
6,5,1,49.40630503,40.0710669,44.59441802,44.38230503,35.0210669,43.72441802
6,5,2,49.93488713,40.43439803,44.82273902,44.91088713,35.38439803,43.95273902
6,5,3,50.32672741,40.75802354,45.39223126,45.30272741,35.70802354,44.52223126
6,5,4,50.89074488,41.15907941,45.83536899,45.86674488,36.10907941,44.96536899
6,5,5,51.21177427,41.17338157,46.2845377,46.18777427,36.12338157,45.4145377
6,5,6,51.66741907,41.75820809,46.79162882,46.64341907,36.70820809,45.92162882
6,6,1,55.03327315,45.36088949,50.08605761,50.00927315,40.31088949,49.21605761
6,6,2,55.48064031,45.681141,50.44505702,50.45664031,40.631141,49.57505702
6,6,3,55.8467596,45.90867976,50.9353594,50.8227596,40.85867976,50.0653594
6,6,4,56.2812483,46.23465313,51.48116508,51.2572483,41.18465313,50.61116508
6,6,5,56.66975577,46.60890448,51.99616972,51.64575577,41.55890448,51.12616972
6,6,6,57.16925939,46.75757363,52.31906185,52.14525939,41.70757363,51.44906185
1,6,1,35.15109227,35.20573341,24.14132441,30.12709227,30.15573341,23.27132441
1,6,2,35.73029541,35.57045532,27.73291754,30.70629541,30.52045532,26.86291754
1,6,3,37.46253029,35.81573581,27.49447173,32.43853029,30.76573581,26.62447173
1,6,4,38.35601352,36.16220808,30.15127608,33.33201352,31.11220808,29.28127608
1,6,5,38.71463389,36.57999814,32.45720711,33.69063389,31.52999814,31.58720711
1,6,6,39.78614012,36.93288823,32.21258066,34.76214012,31.88288823,31.34258066
2,6,1,41.04924902,37.85669487,32.39527229,36.02524902,32.80669487,31.52527229
2,6,2,41.57877213,38.22663952,31.96619556,36.55477213,33.17663952,31.09619556
2,6,3,41.9973841,38.42855865,34.12292441,36.9733841,33.37855865,33.25292441
2,6,4,42.27859275,38.59367072,36.56493333,37.25459275,33.54367072,35.69493333
2,6,5,42.72518801,38.82378301,37.07440326,37.70118801,33.77378301,36.20440326
2,6,6,43.1446603,39.08204748,38.98815524,38.1206603,34.03204748,38.11815524
3,6,1,44.31510147,39.62660623,39.98147488,39.29110147,34.57660623,39.11147488
3,6,2,44.96721217,39.96412789,39.47817163,39.94321217,34.91412789,38.60817163
3,6,3,45.44771754,40.37675067,40.49180856,40.42371754,35.32675067,39.62180856
3,6,4,45.77315405,40.53154519,42.25638115,40.74915405,35.48154519,41.38638115
3,6,5,46.24731364,40.86016604,43.62318653,41.22331364,35.81016604,42.75318653
3,6,6,46.52471785,40.70728189,44.02419588,41.50071785,35.65728189,43.15419588
4,6,1,47.96712159,41.57158288,44.83786111,42.94312159,36.52158288,43.96786111
4,6,2,48.30409246,41.75001211,45.23299323,43.28009246,36.70001211,44.36299323
4,6,3,48.82583688,42.27890135,45.56805276,43.80183688,37.22890135,44.69805276
4,6,4,49.20475433,42.27735505,46.00611584,44.18075433,37.22735505,45.13611584
4,6,5,49.71047044,42.7150175,46.36640931,44.68647044,37.6650175,45.49640931
4,6,6,50.13852652,42.48443451,46.80994995,45.11452652,37.43443451,45.93994995
5,6,1,51.50911374,43.65839442,47.34678417,46.48511374,38.60839442,46.47678417
5,6,2,51.8537814,43.77376778,47.70632249,46.8297814,38.72376778,46.83632249
5,6,3,52.44497362,44.19726926,48.19358532,47.42097362,39.14726926,47.32358532
5,6,4,52.74492702,44.36062484,48.60384841,47.72092702,39.31062484,47.73384841
5,6,5,52.9760771,44.39267386,49.02087195,47.9520771,39.34267386,48.15087195
5,6,6,53.48022358,44.71368916,49.54920496,48.45622358,39.66368916,48.67920496
1,1,6,11.77329025,10.21684671,10.06833125,6.749290246,5.166846709,9.19833125
1,2,6,17.17345467,15.34177207,16.06250693,12.14945467,10.29177207,15.19250693
1,3,6,22.86307756,20.53159027,20.89214761,17.83907756,15.48159027,20.02214761
1,4,6,28.51160947,26.00595083,25.29049153,23.48760947,20.95595083,24.42049153
1,5,6,34.16322272,31.4407984,28.48326162,29.13922272,26.3907984,27.61326162
2,1,6,15.11749265,12.52001672,13.34484885,10.09349265,7.470016717,12.47484885
2,2,6,20.74733689,17.82962708,18.965283,15.72333689,12.77962708,18.095283
2,3,6,26.23194301,22.76427498,24.56072689,21.20794301,17.71427498,23.69072689
2,4,6,31.84117461,28.21132285,29.85047193,26.81717461,23.16132285,28.98047193
2,5,6,37.48651985,33.52618761,35.17600737,32.46251985,28.47618761,34.30600737
3,1,6,18.77680685,14.89755773,16.16002484,13.75280685,9.847557726,15.29002484
3,2,6,24.28625453,19.844329,21.80080743,19.26225453,14.794329,20.93080743
3,3,6,29.82364107,24.90679407,27.34930455,24.79964107,19.85679407,26.47930455
3,4,6,35.44554139,30.38752631,32.93155797,30.42154139,25.33752631,32.06155797
3,5,6,41.00653499,35.81038557,38.48976635,35.98253499,30.76038557,37.61976635
4,1,6,22.29397046,16.89023126,19.18130838,17.26997046,11.84023126,18.31130838
4,2,6,27.78330528,21.93641128,24.63925062,22.75930528,16.88641128,23.76925062
4,3,6,33.3109625,26.93190054,30.10085701,28.2869625,21.88190054,29.23085701
4,4,6,38.83814245,32.12837178,35.65024317,33.81414245,27.07837178,34.78024317
4,5,6,44.62985904,37.90037426,41.21786925,39.60585904,32.85037426,40.34786925
5,1,6,26.14014777,19.53548305,22.15368334,21.11614777,14.48548305,21.28368334
5,2,6,31.56129667,24.09508104,27.48028328,26.53729667,19.04508104,26.61028328
